"Hidalgo","4,646","0","5","0","0","25","196","551","0","0","291","3","0","0","0","8","0","0","0","0","445","8","138","0","125","109","12","82","0","20","0","383","45","77","0","4","83","0","0","76","29","0","0","18","5","412","9","5","0","7","33","0","34","0","1","81","1","107","36","0","0","0","0","1","23","52","0","5","0","13","24","4","4","5","0","0","0","40","0","24","15","12","9","16","52","0","0","7","0","0","18","0","17","539","0","0","0","1","1","0","27","0","0","0","0","0","0","0","0","0","6","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","3","0","6","0","72","61","82",""
"Jalisco","18,401","31","0","0","0","36","190","0","0","0","0","1,234","0","1","0","5","0","0","0","0","797","3,122","1,658","3","0","0","0","0","0","0","0","260","0","45","0","0","0","0","0","0","0","0","0","0","0","4,031","0","0","0","0","2","0","2","0","0","13","1","3","27","0","0","0","0","1,533","0","85","0","0","37","995","0","0","52","0","0","0","0","0","0","37","4","0","0","146","1,413","0","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","939","0","0","0","54","0","0","0","0","0","0","0","0","0","0","0","0","74","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","183","1,334",""
"México","15,766","22","7","0","0","36","356","329","13","0","0","1,794","0","0","0","4","0","0","0","0","186","1,468","536","50","724","0","8","0","15","19","0","580","12","108","0","9","1,645","0","0","82","0","170","0","0","0","283","11","5","0","2","1","0","16","42","0","0","23","12","22","0","0","0","0","2","36","87","0","15","0","207","39","11","100","16","0","0","0","586","0","162","233","98","0","112","67","4","1","16","0","0","11","0","22","1,351","0","0","9","1,629","27","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","12","99","5","357","260","900","673",""
"Michoacán de Ocampo","1,738","4","2","0","0","2","35","104","0","0","69","149","11","0","35","13","4","0","4","1","20","36","92","32","10","1","2","5","1","5","0","207","3","139","0","0","84","0","0","8","20","2","0","0","0","79","6","3","0","0","0","0","0","0","0","13","0","2","0","0","0","0","0","3","3","12","0","0","3","5","4","0","0","0","0","20","0","36","0","8","13","8","5","17","10","0","0","0","0","0","0","0","67","65","0","0","0","106","0","0","2","0","0","0","0","0","2","5","5","2","0","0","0","0","3","0","5","0","4","0","0","0","0","0","0","0","0","0","4","5","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","12","11","7","26","4","34","15",""
"Morelos","655","0","0","0","24","0","19","30","0","0","42","0","0","0","0","0","0","0","0","0","0","84","0","0","15","0","16","0","0","80","0","170","0","0","12","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0",""
"Nayarit","789","8","0","0","1","3","14","0","0","0","5","21","4","0","0","2","0","1","3","0","5","15","210","7","0","0","0","12","0","0","0","30","11","5","17","0","1","0","0","18","7","0","0","0","0","15","5","0","0","0","0","0","0","0","0","17","2","2","0","0","0","0","0","0","0","12","0","1","0","0","0","0","0","0","0","0","0","24","2","3","3","0","0","0","32","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","15","0","0","8","5","1","4","0","0","0","24","0","1","0","0","0","0","0","0","0","0","1","0","0","0","18","0","3","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","32","147",""
"Nuevo León","6,076","0","1","0","1","22","602","795","1","2","73","317","2","2","9","12","0","5","9","1","61","21","350","48","83","3","10","143","7","7","97","597","19","82","65","1","91","7","2","29","63","195","2","0","0","524","75","7","0","12","0","0","28","1","3","42","40","77","30","0","0","0","0","7","39","13","2","17","21","11","15","5","3","0","0","2","0","30","1","16","54","14","5","56","37","0","0","6","0","2","10","9","82","10","3","0","0","27","0","0","0","0","0","3","48","0","0","28","175","22","116","5","8","0","46","1","2","0","32","0","0","0","0","0","70","70","0","5","0","1","2","14","0","0","0","0","0","0","0","1","0","2","0","3","0","0","0","1","20","13","4","0","27","105","79",""
"Oaxaca","6,544","4","5","0","0","33","35","165","0","0","0","412","0","0","1","0","0","0","0","0","144","9","0","0","115","0","1","334","0","8","0","415","8","54","0","0","1,973","42","0","24","29","0","0","0","0","499","0","15","0","4","12","0","39","0","2","299","0","182","303","0","9","3","5","0","5","88","3","30","0","0","0","0","0","0","0","0","0","311","0","29","0","4","0","64","49","0","0","2","0","0","0","11","181","10","0","0","0","68","0","0","0","0","0","0","0","0","0","3","53","0","14","0","0","0","141","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","21","2","1","0","9","14","4","0","0","9","101","121",""
"Puebla","3,020","0","0","0","0","16","1","222","0","0","3","124","0","0","0","0","0","0","0","0","55","84","82","24","17","3","1","2","2","1","0","104","3","8","14","0","17","19","0","15","3","41","2","1","0","659","0","0","1","1","0","1","1","1","0","101","16","73","0","0","0","0","0","0","2","15","0","0","2","0","0","0","0","0","0","0","0","20","0","3","49","7","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","123","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","1,015",""
"Querétaro","2,191","0","0","0","0","2","19","0","0","0","2","259","0","0","0","0","0","0","2","1","30","137","365","25","8","0","0","66","0","2","5","96","10","31","0","0","71","0","0","4","0","10","0","0","0","374","0","0","0","0","0","0","15","0","0","27","22","33","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","14","0","0","13","0","0","0","34","0","0","0","0","0","0","9","10","0","0","0","0","66","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","73","0","0","0","4","0","0","0","0","0","0","3","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","95","212",""
